Day,Time Block,Task Type,Task Description,Target Page
Monday,9:00-9:15,Review,Review task sheet. Identify top priorities: directories + resource pages for Tier 1.,—
Monday,9:15-10:00,Prospecting,"Search 10 resource pages: 'moving resources' + 'useful links', 'relocation resources' + links, 'car shipping' + inurl:resources. Log domain, DA, contact.",Tier 1 pages
Monday,10:00-10:30,Outreach Email #1,Submit to transportreviews.com — Create/claim company profile. Begin review collection process.,https://rapidautoshipping.com/
Monday,10:30-11:00,Outreach Email #2,Submit to consumeraffairs.com — Apply for accredited business profile.,https://rapidautoshipping.com/
Monday,11:00-11:30,Outreach Email #3,Submit to bbb.org — Apply for BBB accreditation.,https://rapidautoshipping.com/
Monday,11:30-12:00,Outreach Email #4,Email pods.com corporate partnerships — Pitch auto transport partner listing in resource center.,https://rapidautoshipping.com/
Monday,12:00-1:00,LUNCH,—,—
Monday,1:00-1:30,Outreach Email #5,Email relocationresources.org — Request inclusion in national relocation guide.,https://rapidautoshipping.com/state-to-state/california-to-michigan
Monday,1:30-2:00,Follow-up #1,Follow up on any pending directory submissions from prior weeks.,All
Monday,2:00-2:30,Follow-up #2,Follow up on any resource page pitches from prior weeks.,All
Monday,2:30-3:00,Follow-up #3,Check status of directory submissions (confirm listing is live or pending).,All
Monday,3:00-3:30,Competitor Replication,Run Montway through free Ahrefs backlink checker. Find 5 sites linking to them not to Rapid. Add to prospect list.,All
Monday,3:30-4:00,Competitor Replication,Run Sherpa through free Ahrefs. Find 5 more unique sites. Add to prospect list.,All
Monday,4:00-4:30,Prospect Logging,Update backlink_task_sheet.csv with all today's submissions and outreach.,—
Monday,4:30-5:00,Planning,Queue Tuesday targets. Prioritize remaining Tier 1 directories.,—
Tuesday,9:00-9:15,Review,Check for any directory approval emails. Handle immediately.,—
Tuesday,9:15-10:00,Prospecting,"Search 10 targets: 'auto transport directory', 'car shipping company listing', 'transportation business directory USA'. Log all.",Tier 1 + 2 pages
Tuesday,10:00-10:30,Outreach Email #1,"Submit to a1autotransport.com directory — Complete company listing with services, contact, reviews.",https://rapidautoshipping.com/
Tuesday,10:30-11:00,Outreach Email #2,Submit to movecars.com — Create verified transporter profile.,https://rapidautoshipping.com/
Tuesday,11:00-11:30,Outreach Email #3,Submit to automotive-fleet.com — Fleet solution directory listing.,https://rapidautoshipping.com/
Tuesday,11:30-12:00,Outreach Email #4,Email colonialvanlines.com blog team — Pitch link insertion in 'Auto Transport Guide for Long Distance Moving'.,https://rapidautoshipping.com/austin-to-seattle-auto-transport
Tuesday,12:00-1:00,LUNCH,—,—
Tuesday,1:00-1:30,Outreach Email #5,Email pcsgrades.com — Pitch sponsored content or resource listing for military car shipping.,https://rapidautoshipping.com/state-to-state/georgia-to-texas
Tuesday,1:30-2:00,Follow-up #1,"Follow up on Monday's directory submissions (transportreviews, consumeraffairs, bbb).",All
Tuesday,2:00-2:30,Follow-up #2,Follow up on resource page pitches.,All
Tuesday,2:30-3:00,Follow-up #3,Check if any competitor-replicated sites have responded.,All
Tuesday,3:00-3:30,Competitor Replication,Run AmeriFreight through Ahrefs. Find 5 unique linking sites. Add to list.,All
Tuesday,3:30-4:00,Competitor Replication,Run American Auto Shipping. Find 5 unique sites. Cross-reference with existing list.,All
Tuesday,4:00-4:30,Prospect Logging,Update task sheet with all submissions and contacts.,—
Tuesday,4:30-5:00,Planning,Queue Wednesday targets. Identify any Tier 2 resource pages.,—
Wednesday,9:00-9:15,Review,Handle any approvals or responses from Mon-Tue.,—
Wednesday,9:15-10:00,Prospecting,"Search 10 targets: site:.edu 'moving resources', 'military relocation resources vehicle', 'real estate relocation links'. Log all.",Tier 2 pages
Wednesday,10:00-10:30,Outreach Email #1,Submit to dnb.com — Create Dun & Bradstreet company profile.,https://rapidautoshipping.com/
Wednesday,10:30-11:00,Outreach Email #2,Submit to ttnews.com — Transport Topics freight/logistics directory listing.,https://rapidautoshipping.com/
Wednesday,11:00-11:30,Outreach Email #3,Submit to feedspot.com — Top auto shipping blogs directory submission.,https://rapidautoshipping.com/
Wednesday,11:30-12:00,Outreach Email #4,Email wmcmovers.com — Request listing in 'Useful Links' resource section.,https://rapidautoshipping.com/
Wednesday,12:00-1:00,LUNCH,—,—
Wednesday,1:00-1:30,Outreach Email #5,Email shipacardirect.com — Request listing on resources page.,https://rapidautoshipping.com/state-to-state
Wednesday,1:30-2:00,Follow-up #1,"Follow up on Tue directory submissions (a1autotransport, movecars, automotive-fleet).",All
Wednesday,2:00-2:30,Follow-up #2,"Follow up on resource page pitches (pods.com, relocationresources.org).",All
Wednesday,2:30-3:00,Follow-up #3,Second follow-up on any Mon submissions still pending.,All
Wednesday,3:00-3:30,Competitor Replication,Outreach to 3 sites found from Mon/Tue competitor research. Pitch Rapid as alternative listing.,varies
Wednesday,3:30-4:00,Competitor Replication,Outreach to 2 more competitor-sourced sites.,varies
