EXACT LINK PLACEMENT MAP — Texas State Page (/states/test-4 → will become /states/texas)
"Format matches Pennsylvania link map exactly. Section-by-section from top to bottom."
"Developer: Follow the same template structure as the Pennsylvania page."
,,,,,

SECTION,Action Needed?,Component / What It Is,Current State,Link Instructions,Notes

1. TOP ANNOUNCEMENT BAR,NO CHANGES,"Calculate Cost / Learn How It Works / Google Reviews links","Already has links — same across all state pages",—,—

2. NAVBAR,NO CHANGES,"Main navigation with service links + states dropdown","Already has links — good internal linking",—,—

3. HERO SECTION (Breadcrumb + H1 + Quote Form),NO CHANGES,"Breadcrumb: Home > States > Texas | H1: Texas Auto Transport | Quote form","Breadcrumb auto-generates from slug. Form is priority. No links needed.",—,"H1 should read: 'Texas Car Shipping Services' or 'Texas Auto Transport Company'"

4. TRUST BADGES BAR ($0 Deposit / Guaranteed Pick-Up / Express / Safe),NO CHANGES,"4 trust signal badges","Static component — no links. These are trust signals not link opportunities.",—,—

5. TEXAS AUTO TRANSPORT BY REGION (6 Region Cards),YES — ADD 3 LINKS,"6 region cards: Dallas-Fort Worth Metroplex | Houston Metro | San Antonio & Hill Country | Austin Metro | El Paso & West Texas | Rio Grande Valley & South Texas","CURRENTLY: Zero internal links in card descriptions.",See below,—

,Region Card: Dallas-Fort Worth Metroplex,,Add link in description where I-35 or I-20 corridor is mentioned,"<a href=""/state-to-state/texas-to-california"">vehicle shipping from Texas to California</a>","Anchor: 'vehicle shipping from Texas to California' — DFW is the #1 origin city for TX→CA shipments"
,Region Card: Houston Metro,,Add link in description where I-10 or Gulf Coast is mentioned,"<a href=""/state-to-state/texas-to-florida"">Texas to Florida auto transport</a>","Anchor: 'Texas to Florida auto transport' — Houston is closest major TX city to FL"
,Region Card: Austin Metro,,Add link in description where tech industry/relocation is mentioned,"<a href=""/state-to-state/texas-to-new-york"">shipping vehicles to New York</a>","Anchor: 'shipping vehicles to New York' — Austin tech workers frequently relocate to/from NYC"
,LINK COUNT: 3,,,,

