SECTION,Sub-Section,Item,Details,Priority,Notes
SECTION 1 — WEBSITE STRUCTURE ANALYSIS,,,,,
,Overview,Total Sitemaps,11 sitemaps: pages / blog / cars / city-to-city / cities / auction / service / state-to-state / states / auto-transport-carriers / faq,,
,Overview,State Pages,50 state pages under /states/,,High commercial intent — "auto transport [state]" keywords
,Overview,State-to-State Routes,900+ route pages under /state-to-state/,,Highest commercial intent — "ship car from [state] to [state]"
,Overview,Service Pages,40+ service pages under /services/ + root,,Core money pages — "car shipping calculator" / "enclosed transport" etc.
,Overview,Car Brand Pages,55+ pages under /cars/,,Brand-specific transport — "Tesla car transport service"
,Overview,City Pages,Unknown count under /cities/ sitemap,,Local commercial intent — "auto transport [city]"
,,,,,
,TOP 20 COMMERCIAL PAGES FOR BACKLINKS,,,,,
,Priority Page,1. /state-to-state/california-to-michigan,"12,746 impressions / position 16.7 — massive search volume with ranking gap",CRITICAL,Needs 12-18 links to reach page 1
,Priority Page,2. /virginia-to-ohio-auto-transport-service,"9,388 impressions / position 9.64 — already page 1 fringe",CRITICAL,6-10 links to solidify top 5
,Priority Page,3. /state-to-state/california-to-north-carolina,"12,842 impressions / position 27.22 — huge volume stuck on page 3",HIGH,12-18 links needed
,Priority Page,4. /austin-to-seattle-auto-transport,"6,857 impressions / position 14.47",HIGH,10-15 links to break page 1
,Priority Page,5. /state-to-state/north-carolina-to-california,"7,866 impressions / position 31.43",HIGH,12-18 links — high volume route
,Priority Page,6. /services/car-shipping-calculator,"50,078 impressions / position 66.04 — enormous volume but position 66",HIGH,Highest impression page after homepage
,Priority Page,7. /state-to-state/michigan-to-california,"5,650 impressions / position 25.42",HIGH,Route variant of #1
,Priority Page,8. /state-to-state/new-york-to-alabama,"4,627 impressions / position 16.98",HIGH,Strong impression count
,Priority Page,9. /state-to-state/alabama-to-texas,"4,289 impressions / position 14.09",HIGH,Close to page 1
,Priority Page,10. /state-to-state/alabama-to-colorado,"3,785 impressions / position 10.48",HIGH,Already page 1 bottom — push to top 5
,Priority Page,11. /pennsylvania-to-illinois-auto-transport-service,"3,699 impressions / position 6.82",HIGH,Already page 1 — solidify with 4-6 links
,Priority Page,12. /state-to-state/arizona-to-new-jersey,"3,077 impressions / position 10.54",HIGH,Page 1 bottom — 6-10 links
,Priority Page,13. /georgia-to-florida-auto-transport,"3,652 impressions / position 17.49",MEDIUM,Page 2 — needs authority boost
,Priority Page,14. /state-to-state/louisiana-to-california,"1,804 impressions / position 11.84",MEDIUM,Good CTR at 2.49% — close to page 1
,Priority Page,15. /state-to-state/arizona-to-colorado,"2,436 impressions / position 7.41",MEDIUM,Already page 1 — maintain and push
,Priority Page,16. /state-to-state/georgia-to-california,"4,396 impressions / position 30.93",MEDIUM,High volume but page 3
,Priority Page,17. /non-running-vehicle-transport,"1,737 impressions / position 15.66",MEDIUM,Unique service page — differentiator
,Priority Page,18. /state-to-state/new-york-to-florida,"1,222 impressions / position 66.96",MEDIUM,Massive route but poor ranking
,Priority Page,19. /state-to-state/california-to-florida,"361 impressions / position 70.0",MEDIUM,Top commercial route nationally
,Priority Page,20. /state-to-state/texas-to-california,No GSC data yet — new page,MEDIUM,One of the highest-volume auto transport routes in US
,,,,,
,WHY THESE PAGES MATTER,Reason,"State-to-state route pages target transactional keywords with direct purchase intent. Users searching 'ship car from California to Michigan' are ready to buy. Each page 1 ranking on a route page = direct leads. State pages build topical authority. Service pages capture broad commercial queries.",,
,,,,,
SECTION 2 — GSC DATA ANALYSIS,,,,,
,Overview,Total Clicks (90 days),"3,330 clicks from 680,675 impressions",,0.49% CTR — significant room for improvement
,Overview,Traffic Split,"Mobile: 2,032 clicks (61%) / Desktop: 1,265 (38%) / Tablet: 33 (1%)",,Mobile-first optimization important
,Overview,Trend,Daily clicks stable at 25-45/day from Dec 2025 to Mar 2026,,No major drops or gains — steady baseline
,,,,,
,HIGH IMPRESSIONS + LOW RANKING (QUICK WIN TARGETS),,,,,
,Quick Win,/services/car-shipping-calculator,"50,078 impressions / position 66 — 89 clicks",CRITICAL,"Highest opportunity gap in entire site. Even moving to position 30 would multiply clicks 5-10x"
,Quick Win,/state-to-state/california-to-north-carolina,"12,842 impressions / position 27 — 53 clicks",CRITICAL,Page 3 with enormous volume
,Quick Win,/state-to-state/california-to-michigan,"12,746 impressions / position 16.7 — 48 clicks",CRITICAL,Close to page 1 with huge volume
,Quick Win,/state-to-state/michigan-to-california,"5,650 impressions / position 25.4 — 89 clicks",HIGH,Reverse route of above
,Quick Win,/blogs/ship-from-new-york-to-florida,"5,164 impressions / position 48.4 — 34 clicks",HIGH,Blog page but signals demand for NY-FL route page
,Quick Win,/state-to-state/georgia-to-california,"4,396 impressions / position 30.9 — 27 clicks",HIGH,High volume stuck on page 3
,Quick Win,/state-to-state/california-to-texas,"1,672 impressions / position 50.4 — 7 clicks",HIGH,Major route with poor ranking
,Quick Win,/enclosed-car-transport,"4,988 impressions / position 73.4 — 2 clicks",HIGH,Core service page ranking very poorly
,Quick Win,/state-to-state/california-to-hawaii,"2,449 impressions / position 67.7 — 5 clicks",MEDIUM,Specialty route with high interest
,,,,,
,KEYWORDS RANKING POSITION 5-20 (STRIKE DISTANCE),,,,,
,Strike Distance,"virginia to ohio auto transport","position 4.56 / 4,653 impressions / 117 clicks",CRITICAL,Almost top 3 — small push = big gain
,Strike Distance,"car shipping companies","position 5.94 / 1,031 impressions / 21 clicks",CRITICAL,Head term — massive upside
,Strike Distance,"car transport service",position 2.77 / 706 impressions / 15 clicks,CRITICAL,Already top 3 — maintain
,Strike Distance,"pennsylvania to illinois auto shipping","position 7.05 / 3,436 impressions / 45 clicks",HIGH,Solid page 1 position
,Strike Distance,"new york to alabama car shipping","position 12.47 / 4,219 impressions / 88 clicks",HIGH,Push from page 2 to page 1
,Strike Distance,"alabama to texas auto transport","position 14.51 / 4,322 impressions / 80 clicks",HIGH,Top of page 2
,Strike Distance,"alabama to colorado auto transport","position 10.68 / 3,810 impressions / 67 clicks",HIGH,Bottom page 1
,Strike Distance,"arizona to new jersey auto transport","position 10.38 / 3,044 impressions / 48 clicks",HIGH,Bottom page 1
,Strike Distance,"shipping a car from michigan to california","position 13.83 / 1,748 impressions / 57 clicks",HIGH,Top of page 2
,Strike Distance,"california to michigan auto transport","position 10 / 2,885 impressions / 16 clicks",HIGH,Bottom page 1 — low CTR to improve
,Strike Distance,"auto transport companies",position 6.23 / 431 impressions / 9 clicks,HIGH,Head term on page 1
,Strike Distance,"car transport companies",position 3.37 / 384 impressions / 8 clicks,HIGH,Already top 5
,,,,,
,PRIORITY BACKLINK TARGET LIST (RANKED),,,,,
,Target List,Priority 1: /state-to-state/california-to-michigan,"Position 16.7 with 12,746 impressions — biggest ROI for backlinks",1,
,Target List,Priority 2: /virginia-to-ohio-auto-transport-service,Position 9.64 — closest to top 5 with high volume,2,
,Target List,Priority 3: /state-to-state/california-to-north-carolina,Position 27 but 12842 impressions — enormous upside,3,
,Target List,Priority 4: /austin-to-seattle-auto-transport,Position 14.47 with 6857 impressions,4,
,Target List,Priority 5: /services/car-shipping-calculator,Position 66 but 50K impressions — long play but massive,5,
,Target List,Priority 6: /pennsylvania-to-illinois-auto-transport-service,Position 6.82 — already ranking well; solidify,6,
,Target List,Priority 7: /state-to-state/alabama-to-colorado,Position 10.48 — push into top 5,7,
,Target List,Priority 8: /state-to-state/arizona-to-new-jersey,Position 10.54 — push into top 5,8,
,Target List,Priority 9: /state-to-state/new-york-to-alabama,Position 16.98 — high impressions,9,
,Target List,Priority 10: /state-to-state/alabama-to-texas,Position 14.09 — close to page 1,10,
,,,,,
SECTION 3 — COMPETITOR BACKLINK ANALYSIS,,,,,
,Overview,Competitors Analyzed,"4: freedomautotransport.com / usacarship.com / shipyourcarnow.com / shipacardirect.com",,
,Overview,Total Backlinks Analyzed,"freedomautotransport: 3,168 / usacarship: 764 / shipyourcarnow: 10,001 / shipacardirect: 4,950",,
,Overview,Quality Domains Found (AS>=8 non-spam),219 unique quality referring domains,,After filtering blogspot PBNs and spam directories
,,,,,
,DOMAINS LINKING TO MULTIPLE COMPETITORS,,,,,
,Multi-Comp,bbb.org,"All 4 competitors — BBB profiles with nofollow links / AS 46",CRITICAL,Claim BBB profile immediately
,Multi-Comp,scam-detector.com,All 4 competitors — reviews/ratings site / AS 13,HIGH,Submit for review
,Multi-Comp,movecars.com,All 4 competitors — car transport directory / AS 48,CRITICAL,Already in prospect list — submit profile
,Multi-Comp,yellowpages.com,3 competitors — business directory / AS 15,HIGH,Create/claim YP listing
,Multi-Comp,zoominfo.com,3 competitors — business intelligence / AS 17,HIGH,Claim company profile
,Multi-Comp,superpages.com,3 competitors — directory / AS 9,MEDIUM,Submit listing
,Multi-Comp,dexknows.com,3 competitors — directory / AS 8,MEDIUM,Submit listing
,Multi-Comp,sitelike.org,3 competitors — similar sites tool / AS 18,MEDIUM,Auto-generated — monitor
,,,,,
,AUTOMOTIVE & TRANSPORT DIRECTORIES,,,,,
,Directory,movecars.com,"#1 car transport directory / AS 48 / used by all 4 competitors",CRITICAL,Submit company profile
,Directory,classics.autotrader.com,"Autotrader Classic — shipyourcarnow has shipping partnership / AS 46",HIGH,Explore partnership opportunity
,Directory,transportreviews.com,Industry review platform / AS 62 (from prospect list),CRITICAL,Already identified — claim profile
,Directory,vehicletransportreviews.com,Transport review site / AS 55 / links to shipacardirect,HIGH,Submit for review
,Directory,a1autotransport.com,30+ year industry directory / AS 56,HIGH,Already in prospect list
,,,,,
,LOGISTICS & BUSINESS DIRECTORIES,,,,,
,Directory,bbb.org,Better Business Bureau / AS 46 / all 4 competitors,CRITICAL,Apply for accreditation
,Directory,dnb.com,Dun & Bradstreet / AS 17 / usacarship listed,HIGH,Create business profile
,Directory,crunchbase.com,Business intelligence / AS 17 / shipacardirect + shipyourcarnow,HIGH,Create company profile
,Directory,zoominfo.com,B2B data / AS 17 / 3 competitors,HIGH,Claim profile
,Directory,owler.com,Company intelligence / AS 9 / freedomautotransport + shipacardirect,MEDIUM,Create profile
,Directory,enigma.com,Business data / AS 9,MEDIUM,Submit listing
,,,,,
,RELOCATION & MOVING DIRECTORIES,,,,,
,Directory,yellowpages.com,"YP listing / AS 15 / 3 competitors",HIGH,Create/verify listing
,Directory,superpages.com,Business directory / AS 9 / 3 competitors,MEDIUM,Submit listing
,Directory,dexknows.com,Local directory / AS 8 / 3 competitors,MEDIUM,Submit listing
,,,,,
,BUSINESS LISTING PLATFORMS,,,,,
,Platform,prnewswire.com,"Press release distribution / AS 17 / freedomautotransport + shipyourcarnow",HIGH,Distribute press releases
,Platform,prweb.com,PR distribution / AS 11 / shipacardirect + shipyourcarnow,HIGH,Submit press releases
,Platform,apps.apple.com,App Store / AS 61 / shipacardirect has app listing,MEDIUM,If app exists or planned
,Platform,play.google.com,Google Play / AS 26 / shipacardirect has listing,MEDIUM,If app exists or planned
,,,,,
,NICHE/INDUSTRY SITES,,,,,
,Niche,cartalk.com,Automotive editorial / AS 48 / links to shipacardirect,HIGH,Pitch inclusion in shipping guides
,Niche,carconference.com,"Conference of Automotive Remarketing / AS 53 / shipyourcarnow is sponsor",HIGH,Explore sponsorship/listing
,Niche,worktruckex.com,"Work Truck Exchange / AS 52 / shipyourcarnow listed",HIGH,Explore partnership
,Niche,longdistancetowing.com,Towing resource / AS 47 / links to shipacardirect,HIGH,Pitch listing
