Day,Time Block,Task Type,Task Description,Target Page
Monday,9:00-10:00,Prospect,"Find 10 niche edit opportunities: search 'car shipping cost guide 2026', 'best auto transport companies', 'how to ship a car' — find articles missing Rapid",All
Monday,10:00-10:30,Outreach Email #1,Email movebuddha.com (editor@movebuddha.com) — Request inclusion in 'How to Ship a Car' guide,https://rapidautoshipping.com/
Monday,10:30-11:00,Outreach Email #2,Email move.org editorial — Submit Rapid for review in 'Best Car Shipping Companies',https://rapidautoshipping.com/
Monday,11:00-11:30,Outreach Email #3,Email arcrelocation.com — Request inclusion in '5 Best Car Transport' article,https://rapidautoshipping.com/
Monday,11:30-12:00,Outreach Email #4,Email jackcooper.com blog — Request inclusion in Top 10 review,https://rapidautoshipping.com/
Monday,12:00-1:00,LUNCH,,
Monday,1:00-1:30,Outreach Email #5,Email extraspace.com blog team — Pitch link insertion in car shipping article,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service
Monday,1:30-2:00,Follow-up #1,Follow up on any pending outreach from last week,All
Monday,2:00-2:30,Follow-up #2,Second follow-up round,All
Monday,2:30-3:00,Follow-up #3,Third follow-up round,All
Monday,3:00-3:30,Directory #1,"Submit to transportreviews.com — Create company profile, start review collection",https://rapidautoshipping.com/
Monday,3:30-4:00,Directory #2,Submit to consumeraffairs.com — Apply for accredited business profile,https://rapidautoshipping.com/
Monday,4:00-4:30,Directory #3,Submit to bbb.org — Apply for BBB accreditation,https://rapidautoshipping.com/
Monday,4:30-5:00,Admin,"Update master task sheet. Log all contacts, statuses. Competitor backlink check: run Montway through free Ahrefs checker, find 5 new sites.",
Tuesday,9:00-10:00,Prospect,"Find 10 resource pages: search 'moving resources useful links', 'relocation resources', 'car shipping inurl:resources'",All
Tuesday,10:00-10:30,Outreach Email #1,Email cars.com editorial — Submit Rapid for 'Best Car Shipping' review,https://rapidautoshipping.com/
Tuesday,10:30-11:00,Outreach Email #2,Email retirementliving.com — Request review/listing,https://rapidautoshipping.com/
Tuesday,11:00-11:30,Outreach Email #3,Email screened.com — Pitch for blog review inclusion,https://rapidautoshipping.com/
Tuesday,11:30-12:00,Outreach Email #4,Email citizenshipper.com blog — Request inclusion,https://rapidautoshipping.com/
Tuesday,12:00-1:00,LUNCH,,
